position,player,rd1,rd2,rd3,rd4,score_to_par,winnings_char
1,Hideki Matsuyama,69,71,65,73,-10,"$2,070,000.00"
2,Will Zalatoris,70,68,71,70,-9,"$1,242,000.00"
T3,Jordan Spieth,71,68,72,70,-7,"$667,000.00"
T3,Xander Schauffele,72,69,68,72,-7,"$667,000.00"
T5,Jon Rahm,72,72,72,66,-6,"$437,000.00"
T5,Marc Leishman,72,67,70,73,-6,"$437,000.00"
7,Justin Rose,65,72,72,74,-5,"$385,250.00"
T8,Corey Conners,73,69,68,74,-4,"$345,000.00"
T8,Patrick Reed,70,75,70,69,-4,"$345,000.00"
T10,Cameron Smith,74,68,73,70,-3,"$299,000.00"
T10,Tony Finau,74,66,73,72,-3,"$299,000.00"
T12,Brian Harman,69,69,74,74,-2,"$218,500.00"
T12,Kevin Na,75,70,70,71,-2,"$218,500.00"
T12,Robert MacIntyre,74,70,70,72,-2,"$218,500.00"
T12,Si Woo Kim,71,69,74,72,-2,"$218,500.00"
T12,Stewart Cink,74,69,72,71,-2,"$218,500.00"
T12,Webb Simpson,70,76,70,70,-2,"$218,500.00"
T18,Collin Morikawa,73,69,75,70,-1,"$161,000.00"
T18,Scottie Scheffler,73,72,71,71,-1,"$161,000.00"
T18,Tyrrell Hatton,71,74,74,68,-1,"$161,000.00"
T21,Harris English,74,71,73,70,0,"$119,600.00"
T21,Justin Thomas,73,67,75,73,0,"$119,600.00"
T21,Phil Mickelson,75,72,69,72,0,"$119,600.00"
T21,Shane Lowry,71,73,72,72,0,"$119,600.00"
T21,Viktor Hovland,73,70,72,73,0,"$119,600.00"
T26,Abraham Ancer,75,69,75,70,1,"$79,925.00"
T26,Bubba Watson,74,70,73,72,1,"$79,925.00"
T26,Cameron Champ,72,68,77,72,1,"$79,925.00"
T26,Charl Schwartzel,74,71,72,72,1,"$79,925.00"
T26,Ian Poulter,74,73,72,70,1,"$79,925.00"
T26,Louis Oosthuizen,76,70,72,71,1,"$79,925.00"
T26,Matt Jones,74,69,74,72,1,"$79,925.00"
T26,Paul Casey,73,74,73,69,1,"$79,925.00"
T34,Matt Wallace,74,72,71,73,2,"$60,663.00"
T34,Michael Thompson,72,72,75,71,2,"$60,663.00"
T34,Ryan Palmer,74,68,73,75,2,"$60,663.00"
T38,Henrik Stenson,73,71,71,76,3,"$52,900.00"
T38,Martin Laird,74,71,72,74,3,"$52,900.00"
T40,Bernd Wiesberger,74,66,74,78,4,"$43,700.00"
T40,Christiaan Bezuidenhout,70,76,74,72,4,"$43,700.00"
T40,Gary Woodland,73,72,75,72,4,"$43,700.00"
T40,Joaquin Niemann,75,71,70,76,4,"$43,700.00"
T40,Mackenzie Hughes,72,72,72,76,4,"$43,700.00"
T46,Brendon Todd,73,71,76,73,5,"$33,503.00"
T46,Bryson DeChambeau,76,67,75,75,5,"$33,503.00"
T46,Tommy Fleetwood,74,70,73,76,5,"$33,503.00"
49,Jason Kokrak,71,76,71,77,7,"$29,900.00"
T50,Billy Horschel,76,71,73,76,8,"$28,635.00"
52,Francesco Molinari,74,73,69,81,9,"$27,600.00"
53,Jim Herman,76,70,76,76,10,"$27,140.00"
54,Adam Scott,74,73,79,73,11,"$26,680.00"
CUT,Bernhard Langer,74,77,NA,NA,NA,NA
CUT,Brian Gay,78,74,NA,NA,NA,NA
CUT,Brooks Koepka,74,75,NA,NA,NA,NA
CUT,C.T. Pan,79,71,NA,NA,NA,NA
CUT,Carlos Ortiz,82,71,NA,NA,NA,NA
CUT,Charles Osborne,76,76,NA,NA,NA,NA
CUT,Daniel Berger,75,73,NA,NA,NA,NA
CUT,Danny Willett,76,73,NA,NA,NA,NA
CUT,Dustin Johnson,74,75,NA,NA,NA,NA
CUT,Dylan Frittelli,76,74,NA,NA,NA,NA
CUT,Fred Couples,79,78,NA,NA,NA,NA
CUT,Hudson Swafford,73,83,NA,NA,NA,NA
CUT,Ian Woosnam,76,77,NA,NA,NA,NA
CUT,Jason Day,77,76,NA,NA,NA,NA
CUT,Jimmy Walker,75,73,NA,NA,NA,NA
CUT,Joe Long,82,72,NA,NA,NA,NA
T50,Jose Maria Olazabal,75,71,75,75,8,"$28,635.00"
CUT,Kevin Kisner,72,77,NA,NA,NA,NA
CUT,Lanto Griffin,76,73,NA,NA,NA,NA
CUT,Larry Mize,84,79,NA,NA,NA,NA
CUT,Lee Westwood,78,71,NA,NA,NA,NA
CUT,Matt Kuchar,78,70,NA,NA,NA,NA
T34,Matthew Fitzpatrick,74,70,73,73,2,"$60,663.00"
DQ,Matthew Wolff,76,79,NA,NA,NA,NA
CUT,Max Homa,74,74,NA,NA,NA,NA
CUT,Mike Weir,78,71,NA,NA,NA,NA
CUT,Patrick Cantlay,79,73,NA,NA,NA,NA
CUT,Robert Streb,75,75,NA,NA,NA,NA
CUT,Rory McIlroy,76,74,NA,NA,NA,NA
CUT,Sandy Lyle,81,75,NA,NA,NA,NA
T40,Sebastian Munoz,74,73,71,74,4,"$43,700.00"
CUT,Sergio Garcia,76,72,NA,NA,NA,NA
CUT,Sungjae Im,77,80,NA,NA,NA,NA
CUT,Tyler Strafaci,80,81,NA,NA,NA,NA
CUT,Victor Perez,78,73,NA,NA,NA,NA
CUT,Vijay Singh,79,80,NA,NA,NA,NA
CUT,Zach Johnson,77,74,NA,NA,NA,NA
